

MI_SI_WLAN_AP_ID,MI_SI_WLAN_AP_Name,MI_SI_Building_Number,MI_SI_WLAN_AP_Hname,MI_SI_WLAN_AP_IP,MI_SI_WLAN_APGroup_Name,MI_SI_WLAN_AP_MAC,MI_SI_WLAN_AP_SN,MI_SI_WLAN_AP_Model,MI_SI_WLAN_AP_Scale,MI_SI_Cabinet_Name,MI_SI_Switch_Name,MI_SI_Switch_IP,MI_SI_SWPort_Interface,MI_SI_Cabling_Number,MI_SI_WLAN_AP_Location,MI_SI_WLAN_AP_Memo02,MI_SI_WLAN_AP_Status,MI_SI_WLAN_WLC_HName,MI_SI_WLAN_AP_IfEnabled,MI_SI_WLAN_AP_Date_Install,MI_SI_WLAN_AP_Memo,MI_SI_WLAN_AP_Height,MI_SI_WLAN_AP_Floor,MI_SI_WLAN_AP_Maintenance
66,520-AP13,B520,SY2520-1TC-FACC1242-M,10.70.16.227,FYT_RMZA-B,d4:8c:b5:e6:95:c8,FGL1633U0BP,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-02,SY2520-1TC03AC26PS24,10.70.28.109,Fa0/2,1B5a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
67,520-AP14,B520,SY2520-1TC-FACC1242-N,10.70.16.228,FYT_RMZA-B,60:73:5c:6a:be:88,FGL1636U01S,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-02,SY2520-1TC02AC26PS48,10.70.28.109,Fa0/3,1D5h,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
68,520-AP15,B520,SY2520-1TC-FACC1242-O,10.70.16.229,FYT_RMZA-B,d4:8c:b5:e6:ab:dc,FGL1633U0BA,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-02,SY2520-1TC02AC26PS48,10.70.28.109,Fa0/4,1D10a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
69,520-AP16,B520,SY2520-1TC-FACC1242-P,10.70.16.230,FYT_RMZA-B,d4:8c:b5:e6:ae:60,FGL1633U0BE,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-02,SY2520-1TC02AC26PS48,10.70.28.109,Fa0/6,1C16a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
70,520-AP17,B520,SY2520-1TC-FACC1242-Q,10.70.16.71,FYT_RMZA-B,d8:67:d9:8e:7b:cc,FGL1625U0DP,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-02,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/44,1C21a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
71,520-AP18,B520,SY2520-1TC-FACC1242-R,10.70.16.72,FYT_RMZA-B,60:73:5c:6a:c0:96,FGL1636U038,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-02,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/37,1C12c,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
72,520-AP19,B520,SY2520-1TC-FACC1242-S,10.70.16.73,FYT_RMZA-B,60:73:5c:6a:c8:e8,FGL1636U03A,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-02,SY2520-1TC02AC26PS48,10.70.28.109,Fa0/8,1B16a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
73,520-AP20,B520,SY2520-1TC-FACC1242-T,10.70.16.74,FYT_RMZA-B,60:73:5c:6a:bd:06,FGL1636U032,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-02,SY2520-1TC02AC26PS48,10.70.28.109,Fa0/7,1B21a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
74,690-AP1,B690,SY2690-1TC-FACC1242-A,10.70.16.184,TBL2,2c:54:2d:8b:19:1a,FGL1623U0E5,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,690-TC-01,SY2690-1TCAC26PS48,10.70.28.41,Fa0/1,1Y7a,ok,WLANSY2RCBR01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
75,690-AP2,B690,SY2690-1TC-FACC1242-B,10.70.16.185,TBL2,a4:93:4c:16:46:40,FGL1623U0DV,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,690-TC-01,SY2690-1TCAC26PS48,10.70.28.41,Fa0/7,1Y11a,ok,WLANSY2RCBR01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
76,690-AP3,B690,SY2690-1TC-FACC1242-C,10.70.16.186,TBL2,d8:67:d9:8e:ad:30,FGL1627U0KH,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,690-TC-01,SY2690-1TC01BC26PS24,10.70.28.119,Fa0/6,1S10c,ok,WLANSY2RCBR01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
77,690-AP4,B690,SY2690-1TC-FACC1242-D,10.70.16.187,TBL2,d8:67:d9:8e:a3:68,FGL1627U0J1,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,690-TC-01,SY2690-1TC01BC26PS24,10.70.28.119,Fa0/5,1S6a,ok,WLANSY2RCBR01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
78,690-AP5,B690,SY2690-1TC-FACC1242-E,10.70.16.220,TBL2,d8:67:d9:8e:aa:58,FGL1627U0HZ,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,691-TC-01,SY2691-1TC01AC26PS24,10.70.28.80,Fa0/1,1N6a,ok,WLANSY2RCBR01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
79,690-AP6,B690,SY2690-1TC-FACC1242-F,10.70.16.221,FYT,b0:fa:eb:b0:bb:c2,FGL1627U0KV,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,691-TC-01,SY2691-1TC01AC26PS24,10.70.28.80,Fa0/2,1N13a,ok,WLANSY2RCBR01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
80,690-AP7,B690,SY2690-1TC-FACC1242-G,10.70.16.222,TBL2,d8:67:d9:8e:b5:d4,FGL1627U0KE,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,691-TC-01,SY2691-1TC01AC26PS24,10.70.28.80,Fa0/4,1G8a,ok,WLANSY2RCBR01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
81,690-AP8,B690,SY2690-1TC-FACC1242-H,10.70.16.223,TBL2,d8:67:d9:8e:b5:c4,FGL1627U0KT,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,691-TC-01,SY2691-1TC01AC26PS24,10.70.28.80,Fa0/3,1G3a,ok,WLANSY2RCBR01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
82,690-AP9,B690,SY2690-1TC-FACC1242-I,10.70.16.151,FYT,70:81:05:92:80:e8,FGL1538U0AH,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,691-TC-01,SY2691-1TC01AC26PS24,10.70.28.80,Fa0/21,1B8a ,ok,WLANSY2RCBR01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
83,415-AP1,B415,SY2415-1TC-FACC1242-A,10.70.16.192,EPC,d8:67:d9:8e:7c:26,FGL1625U0DS,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,415-TC-01,SY2415-1TCAC26PS24,10.70.28.60,Fa0/4,1C1f,ok,WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
84,415-AP2,B415,SY2415-1TC-FACC1242-B,10.70.16.193,EPC,d4:8c:b5:4b:67:76,FGL1630U0AX,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,415-TC-01,SY2415-1TCAC26PS24,10.70.28.60,Fa0/3,1C1i ,ok,WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
85,416-AP1,B416,SY2416-1TC-FACC1242-A,10.70.16.196,EPC_RMZA-B,d8:67:d9:8e:a2:f2,FGL1627U0J4,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,416-TC-01,SY2416-1TC01AC26PS24,10.70.28.65,Fa0/17,1N2a,ok,WLANSY2RCBR02WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
86,416-AP2,B416,SY2416-1TC-FACC1242-B,10.70.16.197,EPC_RMZA-B,d8:67:d9:8e:a0:14,FGL1627U0J3,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,416-TC-01,SY2416-1TC01AC26PS24,10.70.28.65,Fa0/18,1N12d,ok,WLANSY2RCBR02WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
87,416-AP3,B416,SY2416-1TC-FACC1242-C,10.70.16.198,EPC_RMZA-B,d8:67:d9:8e:b5:a2,FGL1627U0K5,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,416-TC-02,SY2416-1TC01BC26PS24,10.70.28.66,Fa0/9,1N18a,ok,WLANSY2RCBR02WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
88,416-AP4,B416,SY2416-1TC-FACC1242-D,10.70.16.199,EPC_RMZA-B,d8:67:d9:8e:ad:3c,FGL1627U0KK,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,416-TC-01,SY2416-1TC01AC26PS24,10.70.28.65,Fa0/19,1G2a,ok,WLANSY2RCBR02WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
89,416-AP5,B416,SY2416-1TC-FACC1242-E,10.70.16.200,EPC_RMZA-B,d8:67:d9:8e:aa:14,FGL1627U0JC,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,416-TC-01,SY2416-1TC01AC26PS24,10.70.28.65,Fa0/20,1G12a,ok,WLANSY2RCBR02WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
90,416-AP6,B416,SY2416-1TC-FACC1242-F,10.70.16.201,EPC_RMZA-B,d8:67:d9:8e:a9:52,FGL1627U0J0,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,416-TC-02,SY2416-1TC01BC26PS24,10.70.28.66,Fa0/10,1G19a,ok,WLANSY2RCBR02WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
91,417-AP1,B417,SY2417-1TC-FACC1242-A,10.70.16.202,EPC_RMZA-C,d8:67:d9:8e:b5:ea,FGL1627U0KF,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,417-TC-01,SY2417-1TC01AC26PS24,10.70.28.67,Fa0/5,1U4a,西区北,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
92,417-AP2,B417,SY2417-1TC-FACC1242-B,10.70.16.203,EPC_RMZA-C,d8:67:d9:8e:aa:2e,FGL1627U0KN,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,417-TC-01,SY2417-1TC01AC26PS24,10.70.28.67,Fa0/6,1U19a,东区北部,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
93,417-AP3,B417,SY2417-1TC-FACC1242-C,10.70.16.204,EPC_RMZA-C,d8:67:d9:8e:b5:da,FGL1627U0KD,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,417-TC-01,SY2417-1TC01AC26PS24,10.70.28.67,Fa0/7,1X11f,西区东墙北侧,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
94,417-AP4,B417,SY2417-1TC-FACC1242-D,10.70.16.205,EPC_RMZA-C,d8:67:d9:8e:a3:96,FGL1627U0HF,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,417-TC-01,SY2417-1TC01AC26PS24,10.70.28.67,Fa0/8,1S4a,西区南,WLANSY2RRMZ01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
95,417-AP5,B417,SY2417-1TC-FACC1242-E,10.70.16.206,EPC_RMZA-C,d8:67:d9:8e:aa:94,FGL1627U0J5,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,417-TC-01,SY2417-1TC01AC26PS24,10.70.28.67,Fa0/9,1S14a,西区东墙,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
96,417-AP6,B417,SY2417-1TC-FACC1242-F,10.70.16.207,EPC_RMZA-C,d8:67:d9:8e:a3:f2,FGL1627U0KX,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,417-TC-01,SY2417-1TC01AC26PS24,10.70.28.67,Fa0/10,1S19a,东区南部,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
97,421-AP1,B421,SY2421-1TC-FACC1242-A,10.70.16.208,EPC_RMZA-B,a4:93:4c:16:47:c8,FGL1623U0E2,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,421-TC-01,SY2421-1TCAC26PS24,10.70.28.50,Fa0/8,1L26d,ok,WLANSY2RCBR02WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
98,421-AP2,B421,SY2421-1TC-FACC1242-B,10.70.16.209,EPC_RMZA-B,d8:67:d9:8e:a2:ca,FGL1627U0J2,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,421-TC-01,SY2421-1TCAC26PS24,10.70.28.50,Fa0/9,1J23a,ok,WLANSY2RCBR02WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
99,421-AP3,B421,SY2421-1TC-FACC1242-C,10.70.16.210,EPC_RMZA-B,d4:8c:b5:4b:2d:0a,FGL1627U0K8,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,421-TC-01,SY2421-1TCAC26PS24,10.70.28.50,Fa0/10,1L31e,ok,WLANSY2RCBR02WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
100,431-AP1,B431,SY2431-1TC-FACC1242-A,10.70.16.211,EPC_RMZA-B,d4:8c:b5:4b:2d:0e,FGL1627U0K9,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,431-IC-01-S1,SY2431-2IC01BC26PS24,10.70.28.76,Fa0/18,1P37a,Floor 1,WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
101,431-AP2,B431,SY2431-1TC-FACC1242-B,10.70.16.212,EPC_RMZA-B,d8:67:d9:8e:b5:38,FGL1627U0KA,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,431-IC-01-S2,SY2431-2IC01AC26PS24,10.70.28.75,Fa0/17,1P39a,Floor 1,WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
102,431-AP3,B431,SY2431-1TC-FACC1242-C,10.70.16.213,EPC_RMZA-B,d8:67:d9:8e:aa:b4,FGL1627U0JB,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,431-TC-01,SY2431-2IC01CC26PS24,10.70.28.77,Fa0/18,3P36a,Floor 2,WLANSY2RCBR02,No Found,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
103,431-AP4,B431,SY2431-1TC-FACC1242-D,10.70.16.214,EPC_RMZA-B,d8:67:d9:8e:a3:32,FGL1627U0J9,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,431-TC-01,SY2431-2IC01CC26PS24,10.70.28.77,Fa0/20,4P39a,Floor 3,WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
104,431-AP5,B431,SY2431-1TC-FACC1242-E,10.70.16.215,EPC_RMZA-B,b0:fa:eb:b0:c3:96,FGL1711U04W,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,431-TC-01,SY2431-2IC01CC26PS24,10.70.28.77,Fa0/19,3K38a,Floor 2,WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
105,431-AP6,B431,SY2431-1TC-FACC1242-F,10.70.16.84,EPC_RMZA-B,60:73:5c:6a:c0:1e,FCL1636U02N,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,431-TC-01,SY2431-2IC01CC26PS24,10.70.28.77,Fa0/22,3Q37a,Floor 2,WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
106,441-AP1,B441,SY2441-1TC-FACC1242-A,10.70.16.216,RMZA-B,d8:67:d9:8e:b5:2e,FGL1627U0K7,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01BC26PS48,10.70.28.82,Fa0/2,1M42c,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
107,441-AP2,B441,SY2441-1TC-FACC1242-B,10.70.16.217,RMZA-B,d8:67:d9:8e:b5:d6,FGL1627U0KC,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01BC26PS48,10.70.28.82,Fa0/3,1M46c,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
108,441-AP3,B441,SY2441-1TC-FACC1242-C,10.70.16.218,RMZA-B,d8:67:d9:8e:ae:32,FGL1627U0H5,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01BC26PS48,10.70.28.82,Fa0/4,1M44d,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
109,441-AP4,B441,SY2441-1TC-FACC1242-D,10.70.16.224,RMZA-B,70:81:05:f1:56:1a,FGL1538U08X,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,431-IC-01-S2,SY2431-2IC01BC26PS24,10.70.28.76,Fa0/17,1M42d,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
110,441-AP5,B441,SY2441-1TC-FACC1242-E,10.70.16.225,RMZA-B,70:81:05:92:81:d8,FGL1538U0AL,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,431-IC-01-S2,SY2431-2IC01BC26PS24,10.70.28.76,Fa0/19,1M46d,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
111,400-AP1,B400,SY2400-1TC-FACC1242-A,10.70.16.188,RMZA-B,a4:93:4c:16:47:7c,FGL1623U0E6,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,400-TC-01,SY2400-1TC01AC26PS24,10.70.28.115,Fa0/8,1D3a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
112,414-AP1,B414,SY2414-1TC-FACC1242-A,10.70.16.190,RMZA-B,a4:93:4c:16:46:f4,FGL1623U0E0,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,413-TC-01,SY2413-1TCAC26PS24,10.70.28.25,Fa0/6,1F8a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
113,414-AP2,B414,SY2414-1TC-FACC1242-B,10.70.16.191,RMZA-B,d8:67:d9:8e:a2:ba,FGL1627U0J6,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,413-TC-01,SY2413-1TCAC26PS24,10.70.28.25,Fa0/12,1F4a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
114,470-AP1,B470,SY2470-1TC-FACC1242-A,10.70.16.245,BSM_EPC,60:73:5c:6a:c9:0c,FGL1636U034,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,470-TC-01,SY2470-1TC01AC26PS24,10.70.28.96,Fa0/12,1E8a,ok,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
115,470-AP2,B470,SY2470-1TC-FACC1242-B,10.70.16.246,BSM_EPC,60:73:5c:6a:cb:0c,FGL1636U037,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,473-IC-01-S1,SY2473-2IC01AC26PS48,10.70.28.98,Fa0/1,1E14c,ok,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
116,470-AP3,B470,SY2470-1TC-FACC1242-C,10.70.16.247,BSM_EPC,60:73:5c:6a:c9:0a,FGL1636U036,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,470-TC-02,SY2470-1TC02BC26PS24,10.70.28.97,Fa0/3,1E21a,ok,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
117,470-AP4,B470,SY2470-1TC-FACC1242-D,10.70.16.248,BSM_EPC,d8:67:d9:8e:66:a0,FGL1625U0C9,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,470-TC-02,SY2470-1TC02BC26PS24,10.70.28.97,Fa0/1,1E26a,ok,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
118,470-AP5,B470,SY2470-1TC-FACC1242-E,10.70.16.249,BSM_EPC,d8:67:d9:8e:7a:d4,FGL1625U0C7,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,470-TC-01,SY2470-1TC01AC26PS24,10.70.28.96,Fa0/1,1E2a,ok,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
119,470-AP6,B470,SY2470-1TC-FACC1242-F,10.70.16.250,BSM_EPC,d8:67:d9:8e:7c:5c,FGL1625U0CJ,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,473-IC-01-S1,SY2473-2IC01AC26PS48,10.70.28.98,Fa0/2,1D10a,ok,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
120,470-AP7,B470,SY2470-1TC-FACC1242-G,10.70.16.251,BSM_EPC,d8:67:d9:8e:67:c4,FGL1625U0C4,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,473-IC-01-S1,SY2473-2IC01AC26PS48,10.70.28.98,Fa0/3,1D17a,ok,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
121,470-AP8,B470,SY2470-1TC-FACC1242-H,10.70.16.252,BSM_EPC,d8:67:d9:8e:7a:80,FGL1625U0CP,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,470-TC-02,SY2470-1TC02BC26PS24,10.70.28.97,Fa0/2,1D23a,ok,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
122,470-AP9,B470,SY2470-1TC-FACC1242-I,10.70.16.253,BSM_EPC,d4:8c:b5:4b:3a:e6,FGL1629U01G,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,470-TC-01,SY2470-1TC01AC26PS24,10.70.28.96,Fa0/2,1E4a,ok,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
123,471-AP1,B471,SY2471-1TC-FACC1242-A,10.70.16.87,BSM_EPC,60:73:5c:6a:bf:fc,FGL1636U01P,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,470-TC-02,SY2470-1TC02BC26PS24,10.70.28.97,Fa0/4,1E26a,ok,WLANSY2RBSM01WLANSY2RCBR02,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
124,445-AP1,B445,SY2445-1TC-FACC1242-A,10.70.16.75,RMZA-B,d4:8c:b5:4b:68:f2,FGL1630U0AW,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01BC26PS48,10.70.28.82,Fa0/25,1N51a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
125,445-AP2,B445,SY2445-1TC-FACC1242-B,10.70.16.76,RMZA-B,60:73:5c:6a:c0:6e,FGL1636U039,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01BC26PS48,10.70.28.82,Fa0/28,1J54b,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,,,
126,422-AP1,B422,SY2422-1TC-FACC1242-A,10.70.16.77,EPC_RMZA-B,d8:67:d9:8e:7c:9a,FGL1625U0DK,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,422-TC-01,SY2422-1TC01AC26PS24,10.70.28.69,Fa0/2,1S28a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
127,422-AP2,B422,SY2422-1TC-FACC1242-B,10.70.16.78,EPC_RMZA-B,d4:8c:b5:4b:37:88,FGL1629U01D,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,422-TC-01,SY2422-1TC01AC26PS24,10.70.28.69,Fa0/3,1T26a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
128,422-AP3,B422,SY2422-1TC-FACC1242-C,10.70.16.79,EPC_RMZA-B,d8:67:d9:8e:7c:18,FGL1625U0DM,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,422-TC-01,SY2422-1TC01AC26PS24,10.70.28.69,Fa0/1,1T31a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
129,422-AP4,B422,SY2422-1TC-FACC1242-D,10.70.16.80,EPC_RMZA-B,d8:67:d9:8e:7e:78,FGL1625U0DH,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,422-TC-01,SY2422-1TC01AC26PS24,10.70.28.69,Fa0/13,1S30a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
130,470-AP10,B470,SY2470-1TC-FACC1242-J,10.70.30.115,BSM_EPC,c8:4c:75:0b:e1:d4,FCW1422U0G2,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,470-TC-02,SY2470-1TC02BC26PS24,10.70.28.97,Fa0/5,1E26d,470/340 passway,WLANSY2RBSM01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,2014/3/1 0:00,2014;MS2b,,,
131,470-AP11,B470,SY2470-1TC-FACC1242-K,10.70.30.116,BSM_EPC,c8:4c:75:0b:ad:2c,FCW1422U0ER,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,470-TC-02,SY2470-1TC02BC26PS24,10.70.28.97,Fa0/6,1E26c,470/340 passway,WLANSY2RBSM01WLANSY2RCBR02WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,2014/3/1 0:00,2014;MS2b,,,
132,522-AP10,B522,SY2522-1IC-FACC1242-A,10.70.30.62,FYT_ASCE,18:e7:28:51:2a:5d,FGL1810S0B6,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,601-TC-01,SY2601-1TCBC26PS48,10.70.28.197,Fa0/3,1F5a,北区西墙,WLANSY2RFYT01WLANSY2ASCE01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
